month,year,deadline_date,payment_date,output_fee,cohort

1,2022,2021-12-25,2022-1-25,true,2021
2,2022,2022-1-25,2022-2-25,false,2021
3,2022,2022-2-25,2022-3-25,true,2021
4,2022,2022-3-25,2022-4-25,false,2021
5,2022,2022-4-25,2022-5-25,false,2021
6,2022,2022-5-25,2022-6-25,false,2021
7,2022,2022-6-25,2022-7-25,true,2021
8,2022,2022-7-25,2022-8-25,false,2021
9,2022,2022-9-25,2022-9-25,false,2021
10,2022,2022-10-25,2022-10-25,true,2021
11,2022,2022-11-25,2022-11-25,false,2021
12,2022,2022-12-25,2022-12-25,true,2021
1,2023,2022-12-25,2023-1-25,true,2021
2,2023,2023-1-25,2023-2-25,false,2021
3,2023,2023-2-25,2023-3-25,true,2021
4,2023,2023-3-25,2023-4-25,false,2021
5,2023,2023-4-25,2023-5-25,false,2021
6,2023,2023-5-25,2023-6-25,false,2021
7,2023,2023-6-25,2023-7-25,true,2021
8,2023,2023-7-25,2023-8-25,false,2021
9,2023,2023-9-25,2023-9-25,false,2021
10,2023,2023-10-25,2023-10-25,true,2021
11,2023,2023-11-25,2023-11-25,false,2021
12,2023,2023-12-25,2023-12-25,true,2021
1,2024,2023-12-25,2024-1-25,true,2021
2,2024,2024-1-25,2024-2-25,false,2021
3,2024,2024-2-25,2024-3-25,true,2021
4,2024,2024-3-25,2024-4-25,false,2021
5,2024,2024-4-25,2024-5-25,false,2021
6,2024,2024-5-25,2024-6-25,false,2021
7,2024,2024-6-25,2024-7-25,true,2021
8,2024,2024-7-25,2024-8-25,false,2021
9,2024,2024-9-25,2024-9-25,false,2021
10,2024,2024-10-25,2024-10-25,true,2021
11,2024,2024-11-25,2024-11-25,false,2021
12,2024,2024-12-25,2024-12-25,true,2021

1,2023,2022-12-25,2023-1-25,true,2022
2,2023,2023-1-25,2023-2-25,false,2022
3,2023,2023-2-25,2023-3-25,true,2022
4,2023,2023-3-25,2023-4-25,false,2022
5,2023,2023-4-25,2023-5-25,false,2022
6,2023,2023-5-25,2023-6-25,false,2022
7,2023,2023-6-25,2023-7-25,true,2022
8,2023,2023-7-25,2023-8-25,false,2022
9,2023,2023-9-25,2023-9-25,false,2022
10,2023,2023-10-25,2023-10-25,true,2022
11,2023,2023-11-25,2023-11-25,false,2022
12,2023,2023-12-25,2023-12-25,true,2022
1,2024,2023-12-25,2024-1-25,true,2022
2,2024,2024-1-25,2024-2-25,false,2022
3,2024,2024-2-25,2024-3-25,true,2022
4,2024,2024-3-25,2024-4-25,false,2022
5,2024,2024-4-25,2024-5-25,false,2022
6,2024,2024-5-25,2024-6-25,false,2022
7,2024,2024-6-25,2024-7-25,true,2022
8,2024,2024-7-25,2024-8-25,false,2022
9,2024,2024-9-25,2024-9-25,false,2022
10,2024,2024-10-25,2024-10-25,true,2022
11,2024,2024-11-25,2024-11-25,false,2022
12,2024,2024-12-25,2024-12-25,true,2022
1,2025,2024-12-25,2025-1-25,true,2022
2,2025,2025-1-25,2025-2-25,false,2022
3,2025,2025-2-25,2025-3-25,true,2022
4,2025,2025-3-25,2025-4-25,false,2022
5,2025,2025-4-25,2025-5-25,false,2022
6,2025,2025-5-25,2025-6-25,false,2022
7,2025,2025-6-25,2025-7-25,true,2022
8,2025,2025-7-25,2025-8-25,false,2022
9,2025,2025-9-25,2025-9-25,false,2022
10,2025,2025-10-25,2025-10-25,true,2022
11,2025,2025-11-25,2025-11-25,false,2022
12,2025,2025-12-25,2025-12-25,true,2022

3,2023,2023-3-10,2023-4-25,true,2023
1,2024,2023-12-25,2024-1-25,false,2023
2,2024,2024-1-25,2024-2-25,true,2023
3,2024,2024-2-25,2024-3-25,true,2023
4,2024,2024-3-25,2024-4-25,false,2023
5,2024,2024-4-25,2024-5-25,false,2023
6,2024,2024-5-25,2024-6-25,true,2023
7,2024,2024-6-25,2024-7-25,false,2023
8,2024,2024-7-25,2024-8-25,true,2023
9,2024,2024-8-25,2024-9-25,false,2023
10,2024,2024-9-25,2024-10-25,false,2023
11,2024,2024-10-25,2024-11-25,false,2023
12,2024,2024-11-25,2024-12-25,true,2023
1,2025,2024-12-25,2025-1-25,true,2023
2,2025,2025-1-25,2025-2-25,false,2023
3,2025,2025-2-25,2025-3-25,true,2023
4,2025,2025-3-25,2025-4-25,false,2023
5,2025,2025-4-25,2025-5-25,false,2023
6,2025,2025-5-25,2025-6-25,false,2023
7,2025,2025-6-25,2025-7-25,true,2023
8,2025,2025-7-25,2025-8-25,false,2023
9,2025,2025-8-25,2025-9-25,false,2023
10,2025,2025-9-25,2025-10-25,true,2023
11,2025,2025-10-25,2025-11-25,false,2023
12,2025,2025-11-25,2025-12-25,true,2023
1,2026,2025-12-25,2026-1-25,true,2023
2,2026,2026-1-25,2026-2-25,false,2023
3,2026,2026-2-25,2026-3-25,true,2023
4,2026,2026-3-25,2026-4-25,false,2023
5,2026,2026-4-25,2026-5-25,false,2023
6,2026,2026-5-25,2026-6-25,false,2023
7,2026,2026-6-25,2026-7-25,true,2023
8,2026,2026-7-25,2026-8-25,false,2023
9,2026,2026-8-25,2026-9-25,false,2023
10,2026,2026-9-25,2026-10-25,true,2023
11,2026,2026-10-25,2026-11-25,false,2023
12,2026,2026-11-25,2026-12-25,true,2023
