course_identifier,lead_provider_name
npq-headship,Best Practice Network
npq-headship,LLSE
npq-senior-leadership,Best Practice Network
npq-senior-leadership,LLSE
npq-leading-teaching,Best Practice Network
npq-leading-teaching,LLSE
npq-leading-teaching-development,Best Practice Network
npq-leading-teaching-development,LLSE
npq-leading-behaviour-culture,Best Practice Network
npq-leading-behaviour-culture,LLSE
npq-early-headship-coaching-offer,Best Practice Network
npq-early-headship-coaching-offer,LLSE
npq-additional-support-offer,Best Practice Network
npq-additional-support-offer,LLSE
npq-executive-leadership,Best Practice Network
npq-executive-leadership,LLSE
npq-leading-primary-mathematics,LLSE
npq-senco,Best Practice Network
